Id,MatchId,PlayerId,Average,CheckoutPercentage,Total180s,Total140s,HighestCheckout,LegsWon,SetsWon
1,1,64,80.61,29.73,2,13,118,13,3
2,1,103,81.25,25.81,3,12,94,8,1
3,2,25,98.54,45.0,2,10,95,9,3
4,2,105,92.95,36.36,5,11,83,4,0
6,3,54,94.97,50.0,7,15,112,11,3
7,4,1,90.79,34.62,2,7,160,9,3
8,4,64,85.62,0.0,2,6,0,0,0
9,5,102,82.56,28.95,3,8,98,11,3
10,5,106,79.23,32.14,0,8,102,9,2
11,6,31,94.38,45.0,4,12,115,9,3
12,6,110,81.11,16.67,1,6,103,2,0
13,7,53,84.19,28.57,2,14,111,6,1
14,7,107,89.1,34.38,3,12,95,11,3
15,8,5,97.01,12.5,1,13,40,2,0
16,8,25,99.17,50.0,2,9,126,9,3
17,9,44,93.19,40.0,5,19,155,8,1
18,9,58,91.64,37.5,3,11,121,9,3
19,10,56,101.92,56.25,4,10,117,9,3
20,10,109,82.64,25.0,0,5,32,1,0
21,11,33,83.77,15.63,5,13,72,5,1
22,11,112,82.96,34.38,5,13,138,11,3
23,12,8,91.32,39.13,1,10,112,9,3
24,12,54,86.81,8.33,1,14,144,2,0
25,13,67,88.75,42.86,3,8,120,9,3
26,13,121,79.17,10.0,1,6,6,1,0
27,14,42,88.13,29.41,3,16,80,10,3
28,14,115,87.02,28.0,6,16,120,7,1
29,15,24,92.97,40.91,2,11,126,9,3
30,15,99,89.62,35.71,3,12,80,5,1
31,16,19,87.38,29.41,3,10,68,5,1
32,16,31,88.38,40.91,4,10,105,9,3
33,17,52,92.3,43.48,3,14,116,10,3
34,17,123,82.88,35.29,3,10,126,6,1
35,18,29,88.68,56.25,4,10,158,9,3
36,18,113,84.03,27.27,3,8,60,3,0
37,19,63,83.53,40.73,3,11,122,11,3
38,19,111,81.81,30.43,4,13,78,7,2
39,20,16,89.63,45.0,4,14,127,9,3
40,20,102,93.77,31.03,3,15,136,9,1
41,21,59,94.1,36.67,6,21,158,11,2
42,21,124,86.63,35.71,1,16,121,10,3
43,22,46,90.65,50.0,5,14,100,11,3
44,22,108,94.9,50.0,7,19,141,7,1
45,23,45,86.23,45.45,6,12,109,10,3
46,23,125,87.57,26.47,5,17,92,9,2
47,24,23,88.03,45.83,3,10,114,11,3
48,24,112,83.41,30.43,5,16,106,7,1
49,25,69,80.71,10.71,2,12,64,3,1
50,25,122,84.4,45.83,0,11,118,11,3
51,26,41,107.06,60.0,3,15,84,9,3
52,26,126,97.92,22.22,0,9,100,2,0
53,27,38,86.66,28.21,2,13,104,11,3
54,27,114,85.77,42.86,3,9,90,6,1
55,28,40,92.39,27.27,3,12,143,6,1
56,28,58,98.97,41.67,3,19,81,10,3
57,29,60,87.66,50.0,3,12,170,9,3
58,29,104,87.26,30.77,2,6,116,4,0
59,30,62,88.44,32.0,4,13,137,8,2
60,30,55,93.31,38.24,4,19,160,13,3
61,31,36,96.24,40.91,9,20,78,9,3
62,31,72,98.92,23.33,7,18,110,7,1
63,32,21,96.93,35.48,4,20,123,11,2
64,32,42,96.9,31.58,9,25,100,12,3
65,33,61,75.63,30.77,1,8,100,4,0
66,33,117,78.41,32.14,4,7,72,9,3
67,34,39,4,92.12,50,2,8,108,10,3
68,34,120,107,89.40,50,4,7,85,5,1
69,35,4,92.12,50.0,2.0,8,108,10,3
